cve_id,cwe_id,n_exploits,vulnerability_type,published_date,updated_date,description,score,gained_access_level,access,complexity,authentication,conf,integ,avail
CVE-2016-8908,89,,Exec Code Sql,2016-11-14,2016-11-29,"SQL injection vulnerability in the ""Site Browser > HTML pages"" screen in dotCMS before 3.3.1 allows remote authenticated attackers to execute arbitrary SQL commands via the orderby parameter.",6.5,None,Remote,Low,Single system,Partial,Partial,Partial
CVE-2016-8907,89,,Exec Code Sql,2016-11-14,2016-11-29,"SQL injection vulnerability in the ""Content Types > Content Types"" screen in dotCMS before 3.3.1 allows remote authenticated attackers to execute arbitrary SQL commands via the orderby parameter.",6.5,None,Remote,Low,Single system,Partial,Partial,Partial
CVE-2016-8906,89,,Exec Code Sql,2016-11-14,2016-11-29,"SQL injection vulnerability in the ""Site Browser > Links pages"" screen in dotCMS before 3.3.1 allows remote authenticated attackers to execute arbitrary SQL commands via the orderby parameter.",6.5,None,Remote,Low,Single system,Partial,Partial,Partial
CVE-2016-8905,89,,Exec Code Sql,2016-11-14,2016-11-29,SQL injection vulnerability in the JSONTags servlet in dotCMS before 3.3.1 allows remote authenticated attackers to execute arbitrary SQL commands via the sort parameter.,6.5,None,Remote,Low,Single system,Partial,Partial,Partial
CVE-2016-8904,89,,Exec Code Sql,2016-11-14,2016-11-29,"SQL injection vulnerability in the ""Site Browser > Containers pages"" screen in dotCMS before 3.3.1 allows remote authenticated attackers to execute arbitrary SQL commands via the orderby parameter.",6.5,None,Remote,Low,Single system,Partial,Partial,Partial
CVE-2016-8903,89,,Exec Code Sql,2016-11-14,2016-11-29,"SQL injection vulnerability in the ""Site Browser > Templates pages"" screen in dotCMS before 3.3.1 allows remote authenticated attackers to execute arbitrary SQL commands via the orderby parameter.",6.5,None,Remote,Low,Single system,Partial,Partial,Partial
CVE-2016-8902,89,,Exec Code Sql,2016-11-14,2016-11-29,SQL injection vulnerability in the categoriesServlet servlet in dotCMS before 3.3.1 allows remote not authenticated attackers to execute arbitrary SQL commands via the sort parameter.,7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2016-8582,89,,Sql,2016-10-28,2016-11-28,A vulnerability exists in gauge.php of AlienVault OSSIM and USM before 5.3.2 that allows an attacker to execute an arbitrary SQL query and retrieve database information or read local system files via MySQL's LOAD_FILE.,7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2016-8564,89,,Exec Code Sql,2016-10-13,2016-12-21,SQL injection vulnerability in Siemens Automation License Manager (ALM) before 5.3 SP3 Update 1 allows remote attackers to execute arbitrary SQL commands via crafted traffic to TCP port 4410.,6.4,None,Remote,Low,Not required,Partial,Partial,None
CVE-2016-7919,89,,Sql +Info,2016-10-28,2016-12-02,"** DISPUTED ** Moodle 3.1.2 allows remote attackers to obtain sensitive information via unspecified vectors, related to a ""SQL Injection"" issue affecting the Administration panel function in the installation process component.  NOTE: the vendor disputes the relevance of this report, noting that ""the person who is installing Moodle must know database access credentials and they can access the database directly; there is no need for them to create a SQL injection in one of the installation dialogue fields.""",5.0,None,Remote,Low,Not required,Partial,None,None
CVE-2016-7453,89,,Sql,2016-11-03,2016-12-02,The Pixidou Image Editor in Exponent CMS prior to v2.3.9 patch 2 could be used to perform an fid SQL Injection.,7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2016-7405,89,,Sql,2016-10-03,2016-10-04,The qstr method in the PDO driver in the ADOdb Library for PHP before 5.x before 5.20.7 might allow remote attackers to conduct SQL injection attacks via vectors related to incorrect quoting.,7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2016-7402,264,,Sql,2016-11-03,2016-11-28,SAP ASE 16.0 SP02 PL03 and prior versions allow attackers who own SourceDB and TargetDB databases to elevate privileges to sa (system administrator) via dbcc import_sproc SQL injection.,7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2016-6652,89,,Exec Code Sql,2016-10-05,2016-11-28,"SQL injection vulnerability in Pivotal Spring Data JPA before 1.9.6 (Gosling SR6) and 1.10.x before 1.10.4 (Hopper SR4), when used with a repository that defines a String query using the @Query annotation, allows attackers to execute arbitrary JPQL commands via a sort instance with a function call.",6.8,None,Remote,Medium,Not required,Partial,Partial,Partial
CVE-2016-6619,89,,Sql,2016-12-10,2016-12-23,"An issue was discovered in phpMyAdmin. In the user interface preference feature, a user can execute an SQL injection attack against the account of the control user. All 4.6.x versions (prior to 4.6.4), 4.4.x versions (prior to 4.4.15.8), and 4.0.x versions (prior to 4.0.10.17) are affected.",6.5,None,Remote,Low,Single system,Partial,Partial,Partial
CVE-2016-6617,89,,Sql,2016-12-10,2016-12-23,An issue was discovered in phpMyAdmin. A specially crafted database and/or table name can be used to trigger an SQL injection attack through the export functionality. All 4.6.x versions (prior to 4.6.4) are affected.,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial
CVE-2016-6616,89,,Sql,2016-12-10,2016-12-23,"An issue was discovered in phpMyAdmin. In the ""User group"" and ""Designer"" features, a user can execute an SQL injection attack against the account of the control user. All 4.6.x versions (prior to 4.6.4) and 4.4.x versions (prior to 4.4.15.8) are affected.",6.8,None,Remote,Medium,Not required,Partial,Partial,Partial
CVE-2016-6611,89,,Sql,2016-12-10,2016-12-12,"An issue was discovered in phpMyAdmin. A specially crafted database and/or table name can be used to trigger an SQL injection attack through the export functionality. All 4.6.x versions (prior to 4.6.4), 4.4.x versions (prior to 4.4.15.8), and 4.0.x versions (prior to 4.0.10.17) are affected.",5.1,None,Remote,High,Not required,Partial,Partial,Partial
CVE-2016-6453,89,,Exec Code Sql,2016-11-03,2016-11-28,"A vulnerability in the web framework code of Cisco Identity Services Engine (ISE) could allow an authenticated, remote attacker to execute arbitrary SQL commands on the database. More Information: CSCva46542. Known Affected Releases: 1.3(0.876).",4.9,None,Remote,Medium,Single system,Partial,Partial,None
CVE-2016-6443,89,,Sql,2016-10-27,2016-11-28,"A vulnerability in the Cisco Prime Infrastructure and Evolved Programmable Network Manager SQL database interface could allow an authenticated, remote attacker to impact system confidentiality by executing a subset of arbitrary SQL queries that can cause product instability. More Information: CSCva27038, CSCva28335. Known Affected Releases: 3.1(0.128), 1.2(400), 2.0(1.0.34A).",6.5,None,Remote,Low,Single system,Partial,Partial,Partial
CVE-2016-6419,89,,Exec Code Sql,2016-10-05,2016-11-28,"SQL injection vulnerability in Cisco Firepower Management Center 4.10.3 through 5.4.0 allows remote authenticated users to execute arbitrary SQL commands via unspecified vectors, aka Bug ID CSCur25485.",6.0,None,Remote,Medium,Single system,Partial,Partial,Partial
CVE-2016-6195,89,,Exec Code Sql,2016-08-30,2016-11-28,"SQL injection vulnerability in forumrunner/includes/moderation.php in vBulletin before 4.2.2 Patch Level 5 and 4.2.3 before Patch Level 1 allows remote attackers to execute arbitrary SQL commands via the postids parameter to forumrunner/request.php, as exploited in the wild in July 2016.",7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2016-5843,89,,Exec Code Sql,2016-09-16,2016-11-28,"Multiple SQL injection vulnerabilities in the FAQ package 2.x before 2.3.6, 4.x before 4.0.5, and 5.x before 5.0.5 in Open Ticket Request System (OTRS) allow remote attackers to execute arbitrary SQL commands via crafted search parameters.",9.0,None,Remote,Low,Not required,Complete,Partial,Partial
CVE-2016-5817,89,,Exec Code Sql,2016-08-22,2016-08-22,SQL injection vulnerability in news pages in Cargotec Navis WebAccess before 2016-08-10 allows remote attackers to execute arbitrary SQL commands via unspecified vectors.,7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2016-5792,89,,Exec Code Sql,2016-08-07,2016-11-28,SQL injection vulnerability in Moxa SoftCMS before 1.5 allows remote attackers to execute arbitrary SQL commands via unspecified fields.,7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2016-5703,89,,Exec Code Sql,2016-07-02,2016-11-28,SQL injection vulnerability in libraries/central_columns.lib.php in phpMyAdmin 4.4.x before 4.4.15.7 and 4.6.x before 4.6.3 allows remote attackers to execute arbitrary SQL commands via a crafted database name that is mishandled in a central column query.,7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2016-5653,89,,Exec Code Sql,2016-07-19,2016-11-28,Multiple SQL injection vulnerabilities in Misys FusionCapital Opics Plus allow remote authenticated users to execute arbitrary SQL commands via the (1) ID or (2) Branch parameter.,4.0,None,Remote,Low,Single system,Partial,None,None
CVE-2016-5048,89,,Exec Code Sql,2016-08-26,2016-12-06,SQL injection vulnerability in chat/staff/default.aspx in ReadyDesk 9.1 allows remote attackers to execute arbitrary SQL commands via the user name field.,7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2016-4999,89,,Exec Code Sql,2016-08-05,2016-08-11,SQL injection vulnerability in the getStringParameterSQL method in main/java/org/dashbuilder/dataprovider/sql/dialect/DefaultDialect.java in Dashbuilder before 0.6.0.Beta1 allows remote attackers to execute arbitrary SQL commands via a data set lookup filter in the (1) Data Set Authoring or (2) Displayer editor UI.,7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2016-4837,89,,Exec Code Sql,2016-07-31,2016-12-06,SQL injection vulnerability in the Seed Coupon plugin before 1.6 for EC-CUBE allows remote attackers to execute arbitrary SQL commands via unspecified vectors.,7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2016-4522,89,,Exec Code Sql,2016-07-27,2016-11-28,SQL injection vulnerability in Rockwell Automation FactoryTalk EnergyMetrix before 2.20.00 allows remote attackers to execute arbitrary SQL commands via unspecified vectors.,7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2016-4507,89,,Exec Code Sql,2016-07-06,2016-07-08,SQL injection vulnerability in Rexroth Bosch BLADEcontrol-WebVIS 3.0.2 and earlier allows remote authenticated users to execute arbitrary SQL commands via unspecified vectors.,5.5,None,Remote,Low,Single system,Partial,Partial,None
CVE-2016-4351,89,,Exec Code Sql,2016-05-05,2016-05-09,SQL injection vulnerability in the authentication functionality in Trend Micro Email Encryption Gateway (TMEEG) 5.5 before build 1107 allows remote attackers to execute arbitrary SQL commands via unspecified vectors.,7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2016-4350,89,,Exec Code Sql,2016-05-09,2016-05-16,"Multiple SQL injection vulnerabilities in the Web Services web server in SolarWinds Storage Resource Monitor (SRM) Profiler (formerly Storage Manager (STM)) before 6.2.3 allow remote attackers to execute arbitrary SQL commands via the (1) ScriptSchedule parameter in the ScriptServlet servlet; the (2) winEventId or (3) winEventLog parameter in the WindowsEventLogsServlet servlet; the (4) processOS parameter in the ProcessesServlet servlet; the (5) group, (6) groupName, or (7) clientName parameter in the BackupExceptionsServlet servlet; the (8) valDB or (9) valFS parameter in the BackupAssociationServlet servlet; the (10) orderBy or (11) orderDir parameter in the HostStorageServlet servlet; the (12) fileName, (13) sortField, or (14) sortDirection parameter in the DuplicateFilesServlet servlet; the (15) orderFld or (16) orderDir parameter in the QuantumMonitorServlet servlet; the (17) exitCode parameter in the NbuErrorMessageServlet servlet; the (18) udfName, (19) displayName, (20) udfDescription, (21) udfDataValue, (22) udfSectionName, or (23) udfId parameter in the UserDefinedFieldConfigServlet servlet; the (24) sortField or (25) sortDirection parameter in the XiotechMonitorServlet servlet; the (26) sortField or (27) sortDirection parameter in the BexDriveUsageSummaryServlet servlet; the (28) state parameter in the ScriptServlet servlet; the (29) assignedNames parameter in the FileActionAssignmentServlet servlet; the (30) winEventSource parameter in the WindowsEventLogsServlet servlet; or the (31) name, (32) ipOne, (33) ipTwo, or (34) ipThree parameter in the XiotechMonitorServlet servlet.",10.0,None,Remote,Low,Not required,Complete,Complete,Complete
CVE-2016-4040,89,,Exec Code Sql,2016-04-19,2016-04-22,SQL injection vulnerability in the Workflow Screen in dotCMS before 3.3.2 allows remote administrators to execute arbitrary SQL commands via the orderby parameter.,6.5,None,Remote,Low,Single system,Partial,Partial,Partial
CVE-2016-3688,200,,Exec Code Sql +Info,2016-04-19,2016-04-28,SQL injection vulnerability in dotCMS before 3.5 allows remote administrators to execute arbitrary SQL commands via the c0-e3 parameter to dwr/call/plaincall/UserAjax.getUsersList.dwr.,4.0,None,Remote,Low,Single system,Partial,None,None
CVE-2016-3675,89,,Exec Code Sql,2016-04-11,2016-04-13,SQL injection vulnerability in Huawei Policy Center with software before V100R003C10SPC020 allows remote authenticated users to execute arbitrary SQL commands via unspecified vectors related to system databases.,6.5,None,Remote,Low,Single system,Partial,Partial,Partial
CVE-2016-3659,89,,Exec Code Sql,2016-04-11,2016-11-30,SQL injection vulnerability in graph_view.php in Cacti 0.8.8.g allows remote authenticated users to execute arbitrary SQL commands via the host_group_data parameter.,6.5,None,Remote,Low,Single system,Partial,Partial,Partial
CVE-2016-3172,89,,Exec Code Sql,2016-04-12,2016-11-30,SQL injection vulnerability in tree.php in Cacti 0.8.8g and earlier allows remote authenticated users to execute arbitrary SQL commands via the parent_id parameter in an item_edit action.,6.5,None,Remote,Low,Single system,Partial,Partial,Partial
CVE-2016-3072,89,,Exec Code Sql,2016-06-07,2016-06-09,Multiple SQL injection vulnerabilities in the scoped_search function in app/controllers/katello/api/v2/api_controller.rb in Katello allow remote authenticated users to execute arbitrary SQL commands via the (1) sort_by or (2) sort_order parameter.,6.5,None,Remote,Low,Single system,Partial,Partial,Partial
CVE-2016-2950,89,,Exec Code Sql,2016-11-30,2016-12-02,SQL injection vulnerability in IBM BigFix Remote Control before 9.1.3 allows remote authenticated users to execute arbitrary SQL commands via unspecified vectors.,4.0,None,Remote,Low,Single system,Partial,None,None
CVE-2016-2873,89,,Exec Code Sql,2016-11-30,2016-12-22,SQL injection vulnerability in IBM QRadar SIEM 7.1 before MR2 Patch 13 and 7.2 before 7.2.7 allows remote authenticated users to execute arbitrary SQL commands via unspecified vectors.,6.5,None,Remote,Low,Single system,Partial,Partial,Partial
CVE-2016-2386,89,,Exec Code Sql,2016-02-16,2016-11-30,"SQL injection vulnerability in the UDDI server in SAP NetWeaver J2EE Engine 7.40 allows remote attackers to execute arbitrary SQL commands via unspecified vectors, aka SAP Security Note 2101079.",7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2016-2355,89,,Exec Code Sql,2016-12-19,2016-12-22,SQL injection vulnerability in the REST API in dotCMS before 3.3.2 allows remote attackers to execute arbitrary SQL commands via the stName parameter to api/content/save/1.,7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2016-2351,89,,Exec Code Sql,2016-05-07,2016-05-10,SQL injection vulnerability in home/seos/courier/security_key2.api on the Accellion File Transfer Appliance (FTA) before FTA_9_12_40 allows remote attackers to execute arbitrary SQL commands via the client_id parameter.,7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2016-2301,89,,Exec Code Sql,2016-04-21,2016-04-27,SQL injection vulnerability in Ecava IntegraXor before 5.0 build 4522 allows remote authenticated users to execute arbitrary SQL commands via unspecified vectors.,6.5,None,Remote,Low,Single system,Partial,Partial,Partial
CVE-2016-2299,89,,Exec Code Sql,2016-04-21,2016-12-02,SQL injection vulnerability in Ecava IntegraXor before 5.0 build 4522 allows remote attackers to execute arbitrary SQL commands via unspecified vectors.,7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2016-2174,89,,Exec Code Sql,2016-06-13,2016-06-14,SQL injection vulnerability in the policy admin tool in Apache Ranger before 0.5.3 allows remote authenticated administrators to execute arbitrary SQL commands via the eventTime parameter to service/plugins/policies/eventTime.,6.5,None,Remote,Low,Single system,Partial,Partial,Partial
CVE-2016-1446,89,,Exec Code Sql,2016-07-15,2016-11-28,"SQL injection vulnerability in Cisco WebEx Meetings Server 2.6 allows remote authenticated users to execute arbitrary SQL commands via unspecified vectors, aka Bug ID CSCuy83200.",6.5,None,Remote,Low,Single system,Partial,Partial,Partial
CVE-2016-1437,89,,Exec Code Sql,2016-06-22,2016-11-29,"SQL injection vulnerability in the SQL database in Cisco Prime Collaboration Deployment before 11.5.1 allows remote authenticated users to execute arbitrary SQL commands via a crafted URL, aka Bug ID CSCuy92549.",4.0,None,Remote,Low,Single system,Partial,None,None
CVE-2016-1393,89,,Exec Code Sql,2016-05-11,2016-11-28,"SQL injection vulnerability in Cisco Cloud Network Automation Provisioner (CNAP) 1.0 and 1.1 allows remote authenticated users to execute arbitrary SQL commands via a crafted URL, aka Bug ID CSCuy72175.",6.5,User,Remote,Low,Single system,Partial,Partial,Partial
CVE-2016-1308,89,,Exec Code Sql,2016-02-07,2016-12-05,"SQL injection vulnerability in Cisco Unified Communications Manager 10.5(2.13900.9) allows remote authenticated users to execute arbitrary SQL commands via a crafted URL, aka Bug ID CSCux99227.",6.5,None,Remote,Low,Single system,Partial,Partial,Partial
CVE-2016-1154,89,,Exec Code Sql,2016-02-19,2016-03-02,SQL injection vulnerability in the Help plug-in 1.3.5 and earlier in Cuore EC-CUBE allows remote attackers to execute arbitrary SQL commands via unspecified vectors.,7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2016-0710,89,,Exec Code Sql,2016-04-11,2016-04-20,Multiple SQL injection vulnerabilities in the User Manager service in Apache Jetspeed before 2.3.1 allow remote attackers to execute arbitrary SQL commands via the (1) role or (2) user parameter to services/usermanager/users/.,7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2016-0249,89,,Exec Code Sql,2016-10-16,2016-11-28,"SQL injection vulnerability in IBM Security Guardium Database Activity Monitor 8.2 before p310, 9.x through 9.5 before p700, and 10.x through 10.1 before p100 allows remote attackers to execute arbitrary SQL commands via unspecified vectors.",7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2016-0233,89,,Exec Code Sql,2016-06-27,2016-06-28,"SQL injection vulnerability in IBM Marketing Platform 8.5.x, 8.6.x, and 9.x before 9.1.2.2 allows remote authenticated users to execute arbitrary SQL commands via unspecified vectors.",6.5,None,Remote,Low,Single system,Partial,Partial,Partial
CVE-2016-0224,89,,Exec Code Sql,2016-06-27,2016-06-28,"SQL injection vulnerability in IBM Marketing Platform 8.5.x, 8.6.x, and 9.x before 9.1.2.2 allows remote attackers to execute arbitrary SQL commands via unspecified vectors.",7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2015-1000011,89,,Sql,2016-10-06,2016-11-29,Blind SQL Injection in wordpress plugin dukapress v2.5.9,7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2015-1000003,89,,Sql,2016-10-06,2016-11-01,Blind SQL Injection in filedownload v1.4 wordpress plugin,7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2015-8769,89,,Exec Code Sql,2016-01-12,2016-12-07,SQL injection vulnerability in Joomla! 3.x before 3.4.7 allows attackers to execute arbitrary SQL commands via unspecified vectors.,7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2015-8604,89,,Exec Code Sql,2016-04-11,2016-12-02,SQL injection vulnerability in the host_new_graphs function in graphs_new.php in Cacti 0.8.8f and earlier allows remote authenticated users to execute arbitrary SQL commands via the cg_g parameter in a save action.,6.5,None,Remote,Low,Single system,Partial,Partial,Partial
CVE-2015-8261,89,,Sql,2016-01-07,2016-01-08,"The DroneDeleteOldMeasurements implementation in Ipswitch WhatsUp Gold before 16.4 does not properly validate serialized XML objects, which allows remote attackers to conduct SQL injection attacks via a crafted SOAP request.",7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2015-8157,89,,Exec Code Sql,2016-06-08,2016-06-10,"SQL injection vulnerability in the Management Server in Symantec Embedded Security: Critical System Protection (SES:CSP) 1.0.x before 1.0 MP5, Embedded Security: Critical System Protection for Controllers and Devices (SES:CSP) 6.5.0 before MP1, Critical System Protection (SCSP) before 5.2.9 MP6, Data Center Security: Server Advanced Server (DCS:SA) 6.x before 6.5 MP1 and 6.6 before MP1, and Data Center Security: Server Advanced Server and Agents (DCS:SA) through 6.6 MP1 allows remote authenticated users to execute arbitrary SQL commands via unspecified vectors.",6.5,None,Remote,Low,Single system,Partial,Partial,Partial
CVE-2015-8153,89,,Exec Code Sql,2016-03-18,2016-12-02,SQL injection vulnerability in Symantec Endpoint Protection Manager (SEPM) 12.1 before RU6-MP4 allows remote authenticated users to execute arbitrary SQL commands via unspecified vectors.,8.3,None,Remote,Low,Multiple systems,Complete,Complete,Complete
CVE-2015-7999,89,,Exec Code Sql,2016-04-14,2016-11-28,Multiple SQL injection vulnerabilities in the Administration Web UI servlets in Citrix Command Center before 5.1 Build 36.7 and 5.2 before Build 44.11 allow remote authenticated users to execute arbitrary SQL commands via unspecified vectors.,6.5,User,Remote,Low,Single system,Partial,Partial,Partial
CVE-2015-7695,89,,Exec Code Sql,2016-06-07,2016-11-28,"The PDO adapters in Zend Framework before 1.12.16 do not filer null bytes in SQL statements, which allows remote attackers to execute arbitrary SQL commands via a crafted query.",7.5,None,Remote,Low,Not required,Partial,Partial,Partial
CVE-2015-7448,89,,Exec Code Sql,2016-03-12,2016-03-22,"SQL injection vulnerability in IBM Maximo Asset Management 7.1 through 7.1.1.13, 7.5.0 before 7.5.0.9 IFIX003, and 7.6.0 before 7.6.0.3 IFIX001; Maximo Asset Management 7.5.0 before 7.5.0.9 IFIX003, 7.5.1, and 7.6.0 before 7.6.0.3 IFIX001 for SmartCloud Control Desk; and Maximo Asset Management 7.1 through 7.1.1.13 and 7.2 for Tivoli IT Asset Management for IT and certain other products allows remote authenticated users to execute arbitrary SQL commands via unspecified vectors.",6.5,None,Remote,Low,Single system,Partial,Partial,Partial
CVE-2015-6433,89,,Exec Code Sql,2016-01-07,2016-12-07,"SQL injection vulnerability in Cisco Unified Communications Manager 11.0(0.98000.225) allows remote authenticated users to execute arbitrary SQL commands via a crafted URL, aka Bug ID CSCut66767.",4.0,None,Remote,Low,Single system,None,Partial,None
